name,path,n,stride,t_mem,t_gen,gap,wn0,wn1
grok_seed1,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\prediction_improved\results\grok_seed1_train.csv,2000,10,1240,2990.0,1750.0,42.13895668393131,29.11846069751764
grok_seed2,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\prediction_improved\results\grok_seed2_train.csv,2000,10,1400,3140.0,1740.0,42.01367042727023,30.389318337176544
grok,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\prediction_improved\results\grok_train.csv,2000,10,1630,13700.0,12070.0,42.23943428741358,29.88589100423174
lowdata15,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\prediction_improved\results\lowdata15_train.csv,2000,10,660,,,42.238773491141,61.53558966324934
lowdata20,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\prediction_improved\results\lowdata20_train.csv,2000,10,830,,,42.23982361615411,61.41119708485094
nogap,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\prediction_improved\results\nogap_train.csv,2000,10,770,780.0,10.0,42.23796861789334,36.72786674656479
wd0,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\prediction_improved\results\wd0_train.csv,2000,10,640,,,42.28171386814788,72.91764609477393
s0_i0,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s0_i0.csv,2000,10,1450,5100.0,3650.0,42.1604263547633,31.016142214727303
s0_i2,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s0_i2.csv,2000,10,1300,5950.0,4650.0,41.992876274354046,30.16076699826648
s1_i1,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s1_i1.csv,2000,10,1350,2950.0,1600.0,42.11769541138229,29.370446974448715
s1_i3,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s1_i3.csv,2000,10,1840,6340.0,4500.0,42.0344970792166,30.550891112378658
s2_i0,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s2_i0.csv,2000,10,1270,3600.0,2330.0,42.16187907137247,32.7485205578748
s3_i1,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s3_i1.csv,2000,10,1430,3160.0,1730.0,42.117430997101685,30.27999874200594
s42_i0,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s42_i0.csv,2000,10,1390,4850.0,3460.0,42.16141999973303,30.159796732932787
s4_i3,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\edm_validation\results\conf\s4_i3.csv,2000,10,1630,7330.0,5700.0,42.03684229896004,30.321514144739872
grokking_S_6_logs_st,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_S_6_logs_with_stochastic.csv,20000,10,56280,56690.0,410.0,48.83057393904646,254.21814751555263
ma_S_5_st,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_modular_addition_logs_S_5_with_stochastic.csv,3000,5,1615,6820.0,5205.0,42.27459354485754,36.820284460242256
ma_S_5_st_with_small_wight_decay,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_modular_addition_logs_S_5_with_stochastic_with_small_wight_decay.csv,10000,10,2310,53700.0,51390.0,42.29065863758459,60.11663936178789
ma_S_5_st_without_wight_decay,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_modular_addition_logs_S_5_with_stochastic_without_wight_decay.csv,3000,5,3745,,,42.29150425337832,110.45952226044407
ma_gd,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_modular_addition_logs_gd.csv,15000,1,14904,14907.0,3.0,115.12870247290432,46.383208896011865
ma_to_flat_grokking,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_modular_addition_logs_to_flat_grokking.csv,20000,1,130,6997.0,6867.0,42.28186468150542,30.268887366488464
ma_to_flat_grokking_st,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_modular_addition_logs_to_flat_grokking_with_stochastic.csv,2000,10,1630,13800.0,12170.0,42.23943428741358,29.883379298732297
ma_st,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\grokking_logs\grokking_modular_addition_logs_with_stochastic.csv,15000,1,14457,14456.0,-1.0,114.36267930305912,32.10355251914614
p_211_wd_0,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\modular_addition_grokking_colab\training_log_p_211_wd_0.csv,4001,49,1800,,,43.29525868374871,125.80529375563314
p_211_wd_0_point_5,C:\Users\Alex\Documents\GitHub\EDMGrokking\code\Grokking\modular_addition_grokking_colab\training_log_p_211_wd_0_point_5.csv,1024,49,7650,45950.0,38300.0,43.2736116136656,37.36669180419845
